Chest Pain,Good Blood Circulation,Blocked Arteries,Heart Disease
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,Yes,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
Yes,Yes,No,No
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,Yes,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,Yes
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
No,No,No,No
